id;lemmaword;meat;milky;green;fish;seafood;gluten;flour;pig;mushroom;vegan
0;Шампиньоны;-;-;-;-;-;-;-;-;+;+;27.0;4.25;1.0;0.0
1;Кабачок;-;-;-;-;-;-;-;-;-;+;24.0;0.6666666666666666;0.3333333333333333;4.666666666666667
2;Картофель;-;-;-;-;-;-;-;-;-;+;77.0;2.0;0.5;16.5
3;Морковь;-;-;-;-;-;-;-;-;-;+;35.0;1.0;0.0;7.0
4;Лук репчатый;-;-;-;-;-;-;-;-;-;+;41.0;1.0;0.0;8.0
5;Помидоры;-;-;-;-;-;-;-;-;-;+;20.0;1.0;0.0;4.0
6;петрушка;-;-;+;-;-;-;-;-;-;+;49.0;3.7;0.4;7.6
7;Вода;-;-;-;-;-;-;-;-;-;+;0.0;0.0;0.0;0.0
8;масло;-;-;-;-;-;-;-;-;-;+;884.0;0.0;100.0;0.0
9;Свекла;-;-;-;-;-;-;-;-;-;+;42.0;1.5;0.0;9.0
10;Капуста белокочанная;-;-;-;-;-;-;-;-;-;+;28.0;2.0;0.0;5.0
11;чеснок;-;-;-;-;-;-;-;-;-;+;149.0;6.5;0.5;29.9
12;грудка;+;-;-;-;-;-;-;-;-;-;113.0;23.6;1.9;0.4
13;Рис белый;-;-;-;-;-;-;-;-;-;+;344.0;6.5;0.5;79.0
14;Укроп и другие пряные травы;-;-;+;-;-;-;-;-;-;+;40.0;5.0;0.0;5.0
15;Курица тушка;+;-;-;-;-;-;-;-;-;-;238.0;18.25;18.5;0.0
16;Горбуша;-;-;-;+;-;-;-;-;-;-;147.0;21.0;7.0;0.0
17;Водка;-;-;-;-;-;-;-;-;-;+;235.0;0.0;0.0;0.0
18;Креветки очищенные;-;-;-;-;+;-;-;-;-;-;98.05555555555556;20.555555555555554;1.6666666666666665;0.2777777777777778
19;Огурец соленый;-;-;-;-;-;-;-;-;-;+;13.0;1.0;0.0;1.5
20;Крупа перловая;-;-;-;-;-;+;-;-;-;+;316.0;10.0;2.0;68.0
21;Перец сладкий;-;-;-;-;-;-;-;-;-;+;26.0;1.0;0.0;5.0
22;Фасоль стручковая;-;-;-;-;-;-;-;-;-;+;23.0;3.0;0.0;3.0
23;Горошек зеленый;-;-;-;-;-;-;-;-;-;+;73.0;5.0;0.0;14.0
24;Куркума;-;-;-;-;-;-;-;-;-;+;350.0;0.0;0.0;50.0
25;Кефир 1% жирности;-;+;-;-;-;-;-;-;-;-;40.0;3.0;1.0;4.0
26;Яйцо куриное;-;-;-;-;-;-;-;-;-;-;157.0;12.5;11.5;0.5
27;Орех грецкий;-;-;-;-;-;-;-;-;-;+;660.0;20.0;60.0;20.0
28;Хлеб ржаной;-;-;-;-;-;+;+;-;-;+;165.625;6.875;1.25;34.375
29;Мука цельнозерновая;-;-;-;-;-;+;+;-;-;+;310.0;10.0;0.0;60.0
30;Молоко 2,5%;-;+;-;-;-;-;-;-;-;-;54.0;2.8;2.4;4.8
31;Сыр полутвердый (голландский);-;+;-;-;-;-;-;-;-;-;361.3333333333333;26.666666666666668;27.333333333333332;0.0
32;Чечевица зерно;-;-;-;-;-;-;-;-;-;+;295.0;24.0;1.5;46.5
33;Тунец натуральный Консервы;-;-;-;+;-;-;-;-;-;-;96.0;22.666666666666668;0.6666666666666666;0.0
34;карри;-;-;-;-;-;-;-;-;-;+;352.0;12.7;13.8;25
35;Печень куриная;+;-;-;-;-;-;-;-;-;-;140.0;20.5;6.0;1.5
36;Куриные желудки;+;-;-;-;-;-;-;-;-;-;94.0;17.0;2.0;0.0
37;Макароны из муки в/с;-;-;-;-;-;+;+;-;-;-;338.0;12.0;2.0;70.0
38;Сухари ржаные;-;-;-;-;-;+;+;-;-;+;335.0;16.666666666666668;1.6666666666666667;70.0
39;Лимон;-;-;-;-;-;-;-;-;-;+;33.333333333333336;0.0;0.0;3.3333333333333335
40;Сок томатный;-;-;-;-;-;-;-;-;-;+;18.0;1.0;0.0;3.0
41;Сыворотка творожная;-;+;-;-;-;-;-;-;-;-;18.2;0.8;0.2;3.6
42;Фасоль зерно;-;-;-;-;-;+;-;-;-;+;298.0;21.0;2.0;47.0
43;Куриный окорочок;+;-;-;-;-;-;-;+;-;-;184.66666666666666;21.333333333333332;11.0;0.16666666666666666
44;Куриные ножки без кожи, тушеные;+;-;-;-;-;-;-;-;-;-;153.33333333333334;26.666666666666668;6.666666666666667;0.0
45;pasta zara паутинка;-;-;-;-;-;+;+;-;-;-;350.0;12.0;1.0;71.0
46;Куриные бедра без кожи, тушеные;+;-;-;-;-;-;-;-;-;-;175.71428571428572;25.714285714285715;8.571428571428571;0.0
47;Куриный бульон;-;-;-;-;-;-;-;-;-;+;30.039525691699605;4.446640316205534;1.0869565217391306;0.790513833992095
48;Соль поваренная пищевая;-;-;-;-;-;-;-;-;-;+;0.0;0.0;0.0;0.0
49;Куриная голень;+;-;-;-;-;-;-;-;-;-;150.0;15.0;10.0;0.0
50;Сельдерей, корень;-;-;+;-;-;-;-;-;-;+;32.0;1.5;0.5;6.5
51;Лавровый лист;-;-;-;-;-;-;-;-;-;+;300.0;0.0;0.0;100.0
52;Сахар-песок;-;-;-;-;-;-;-;-;-;+;380.0;0.0;0.0;100.0
53;Тыква;-;-;-;-;-;-;-;-;-;+;22.0;1.0;0.125;4.375
54;Корица;-;-;-;-;-;-;-;-;-;+;240.0;0.0;0.0;80.0
55;Судак;-;-;-;+;-;-;-;-;-;-;83.0;19.0;0.8333333333333334;0.0
56;Сухарики из белого хлеба;-;-;-;-;-;+;+;-;-;+;330.83333333333337;10.833333333333334;1.6666666666666667;72.5
57;Масурдал, суп из чечевицы Ярмарка;-;-;-;-;-;+;-;-;-;+;300.0;22.0;1.6;49.2
58;Приправа Kamis Прованские травы;-;-;-;-;-;-;-;-;-;+;200.0;33.333333333333336;0.0;33.333333333333336
59;Шафран;-;-;-;-;-;-;-;-;-;+;300.0;0.0;0.0;66.66666666666667
60;Кальмар (мясо);-;-;-;-;+;-;-;-;-;-;100.0;18.0;2.0;2.0
61;Осьминог;-;-;-;-;+;-;-;-;-;-;82.0;15.0;1.0;2.0
62;Мидии;-;-;-;-;+;-;-;-;-;-;77.14285714285715;11.428571428571429;1.4285714285714286;2.857142857142857
63;Пшено;-;-;-;-;-;+;-;-;-;+;348.0;12.0;3.0;69.0
64;Свинина лопаточная часть;+;-;-;-;-;-;-;+;-;-;365.6;14.8;29.4;0.0
65;Томатная паста;-;-;-;-;-;+;+;-;-;-;102.0;4.0;0.0;20.0
66;пастернак;-;-;-;-;-;-;-;-;-;+;47.0;1.0;1.0;9.0
67;барбарис;-;-;-;-;-;-;-;-;-;+;152.0;0.0;0.0;38.0
68;Имбирь корень;-;-;-;-;-;-;-;-;-;+;350.0;10.0;10.0;70.0
69;Баранина с косточкой;+;-;-;-;-;-;-;-;-;-;209.0;15.6;16.4;0.0
70;Горох сушеный;-;-;-;-;-;-;-;-;-;+;298.0;20.4;2.0;49.6
71;Индейка, грудка без кожи;+;-;-;-;-;-;-;-;-;-;84.0;19.2;0.8;0.0
72;Сливки, 10,0% жирности;-;+;-;-;-;-;-;-;-;-;119.0;3.0;10.0;5.0
73;Подосиновики;-;-;-;-;-;-;-;-;+;+;22.0;3.3333333333333335;0.6666666666666666;1.3333333333333333
74;Белый гриб;-;-;-;-;-;-;-;-;+;+;34.0;3.6666666666666665;1.6666666666666667;1.0
75;Куриная спинка;+;-;-;-;-;-;-;+;-;-;319.0;14.0;28.666666666666668;0.0
76;семга;-;-;-;+;-;-;-;-;-;-;140.0;21.6;6.0;0.0
77;Редис;-;-;-;-;-;-;-;-;-;+;20.0;2.0;0.0;4.0
78;Оливки. Консервы;-;-;-;-;-;-;-;-;-;+;175.0;1.842105263157895;16.315789473684212;5.2631578947368425
79;Ребрышки копченые свиные;+;-;-;-;-;-;-;+;-;-;220.0;12.0;42.0;0.0
80;Сметана 10,0% жирности;-;+;-;-;-;-;-;-;-;-;118.75;2.5;10.0;3.75
81;Уксус 3%;-;-;-;-;-;-;-;-;-;+;0.0;0.0;0.0;0.0
82;Говядина грудинка мякоть;+;-;-;-;-;-;-;-;-;-;224.5;17.0;17.5;0.0
83;Паприка сушёная, молотая;-;-;-;-;-;-;-;-;-;+;280.0;20.0;20.0;60.0
84;Фасоль в томате "Бобовая страна";-;-;-;-;-;-;-;-;-;+;112.09876543209877;6.913580246913581;0.7407407407407408;19.506172839506174
85;Кета натуральная Консервы;-;-;-;+;-;-;-;-;-;-;129.0;21.666666666666668;4.666666666666667;0.0
86;Хмели-сунели;-;-;-;-;-;+;-;-;-;+;420.0;0.0;40.0;20.0
87;Салат;-;-;+;-;-;-;-;-;-;+;13.333333333333334;0.0;0.0;0.0
88;Соевый соус;-;-;-;-;-;-;-;-;-;+;50.0;10.0;0.0;10.0
89;Щавель;-;-;+;-;-;-;-;-;-;+;22.0;1.6666666666666667;0.3333333333333333;3.0
90;Томат грунтовый;-;-;-;-;-;-;-;-;-;+;17.894736842105264;1.0526315789473684;0.0;3.8596491228070176
91;Яичный белок куриный;-;-;-;-;-;-;-;-;-;-;44.0;12.0;0.0;0.0
92;Кукуруза Консервы;-;-;-;-;-;-;-;-;-;+;119.33333333333333;4.0;1.3333333333333333;22.666666666666668
93;Филе куриное;+;-;-;-;-;-;-;-;-;-;113.0;23.5;2.0;0.5
94;Горчица столовая;-;-;-;-;-;-;-;-;-;+;420.0;0.0;40.0;20.0
95;Квас хлебный;-;-;-;-;-;+;+;-;-;+;27.0;0.2;0.0;5.2
96;Шпинат-пюре. Консервы;-;-;+;-;-;-;-;-;-;+;16.0;2.0;0.0;2.0
97;Хрен;-;-;-;-;-;-;-;-;-;+;55.0;5.0;0.0;10.0
98;Окунь горячего копчения;-;-;-;+;-;-;-;-;-;-;166.0;23.5;8.0;0.0
99;Йогурт 1,5%;-;+;-;-;-;-;-;-;-;-;57.0;4.0;1.5;6.0
100;Лапша рисовая;-;-;-;-;-;+;+;-;-;-;344.0;7.0;0.0;79.0
101;Утка;+;-;-;-;-;-;-;-;-;-;308.0;13.5;28.5;0.0
102;Кунжут-семя;-;-;-;-;-;-;-;-;-;+;566.6666666666667;20.0;50.0;13.333333333333334
103;Макароны из муки в/с;-;-;-;-;-;+;-;-;-;+;338.33333333333337;10.833333333333334;1.6666666666666667;70.83333333333334
104;Вишня;-;-;-;-;-;-;-;-;-;+;52.0;0.6666666666666666;0.3333333333333333;10.666666666666666
105;Крахмал картофельный;-;-;-;-;-;-;-;-;-;+;327.0;0.0;0.0;80.0
106;Лимонная кислота;-;-;-;-;-;-;-;-;-;+;0.0;0.0;0.0;0.0
107;Путассу;-;-;-;+;-;-;-;-;-;-;72.0;16.0;0.6666666666666666;0.0
108;Мюсли "Lucky Days" Тропический микс;-;-;-;-;-;+;-;-;-;+;290.0;8.571428571428571;1.4285714285714286;61.42857142857143
109;Семена льна;-;-;-;-;-;-;-;-;-;+;543.0;18.29;42.16;28.88
110;Гречневая крупа продел;-;-;-;-;-;-;-;-;-;+;300.0;10.0;2.0;60.0
111;Яблоки;-;-;-;-;-;-;-;-;-;+;47.142857142857146;0.0;0.0;10.0
112;Минтай;-;-;-;+;-;-;-;-;-;-;70.0;16.0;0.8571428571428571;0.0
113;Форель морская;-;-;-;+;-;-;-;-;-;-;157.0;20.6;4.4;0.0
114;Куриный фарш;+;-;-;-;-;-;-;+;-;-;143.0;17.4;8.2;0.0
115;Кориандр;-;-;-;-;-;-;-;-;-;+;0.0;0.0;0.0;0.0
116;Зира (кумин);-;-;-;-;-;-;-;-;-;+;120.0;20.0;0.0;40.0
117;Вино сухое;-;-;-;-;-;-;-;-;-;+;68.0;0.0;0.0;0.25
118;Охотничьи колбаски;+;-;-;-;-;+;-;+;-;-;463.3333333333333;25.333333333333332;40.0;0.6666666666666666
119;Брусника;-;-;-;-;-;-;-;-;-;+;46.0;1.0;1.0;8.0
120;Тмин;-;-;-;-;-;-;-;-;-;+;330.0;20.0;20.0;50.0
121;Рассол огуречный;-;-;-;-;-;-;-;-;-;+;12.0;0.0;0.0;0.5
122;Крапива;-;-;+;-;-;-;-;-;-;+;34.0;2.0;0.0;6.0
123;Маслины средние и мелкие;-;-;-;-;-;-;-;-;-;+;115.0;1.0;11.0;6.0
124;Лисички;-;-;-;-;-;-;-;-;+;+;19.0;1.5;1.0;1.0
125;Ботва свекольная;-;-;+;-;-;-;-;-;-;+;28.0;2.0;0.0;6.0
126;Простокваша 2.5%;-;+;-;-;-;-;-;-;-;-;53.0;3.0;2.6;4.2
127;Малина;-;-;-;-;-;-;-;-;-;+;46.0;0.8;0.5333333333333333;8.266666666666667
128;Подсластитель Эритрит;-;-;-;-;-;-;-;-;-;+;0.0;0.0;0.0;0.0
129;Ванильный сахар;-;-;-;-;-;-;-;-;-;+;400.0;0.0;0.0;100.0
130;Бекон;+;-;-;-;-;-;-;-;-;-;500.0;23.333333333333336;45.0;0.0
131;пажитник;-;-;-;-;-;-;-;-;-;+;350.0;50.0;0.0;50.0
132;масала;-;-;-;-;-;-;-;-;-;+;380.0;20.0;20.0;40.0
133;корень фенхеля;-;-;-;-;-;-;-;-;-;+;31.0;1.3333333333333333;0.3333333333333333;7.333333333333333
134;Лапша фунчеза;-;-;-;-;-;-;-;-;-;+;320.0;0.5;0.5;84.0
135;Тофу;-;-;-;-;-;-;-;-;-;+;74.0;8.0;4.0;0.0
136;Водоросли Нори;-;-;-;-;-;-;-;-;-;+;350.0;50.0;0.0;50.0
137;Цуккини;-;-;-;-;-;-;-;-;-;+;15.9375;1.5625;0.3125;3.125
138;Овсяные хлопья геркулес;-;-;-;-;-;+;-;-;-;+;351.42857142857144;12.857142857142858;5.714285714285714;61.42857142857143
139;Грудинка копчено-запеченная (свинина);+;-;-;-;-;-;-;-;-;-;514.0;10.0;53.0;0.0
140;Колбаса вареная докторская;+;-;-;-;-;+;-;+;-;-;257.3333333333333;12.666666666666666;22.0;1.3333333333333333
141;Прованские травы;-;-;+;-;-;-;-;-;-;+;200.0;0.0;0.0;0.0
142;Пиво;-;-;-;-;-;+;-;-;-;+;42.0;0.4;0.0;4.6
